FUID,Number_of_Occurrences,Platforms,Platform_Count
FUID-UNKNO:00346-0000-00,440,AZURE,1
FUID-COGNO:01048-56318-00,12,AZURE,1
FUID-APPS4:00107-26759-2204,7,AZURE,1
FUID-KCLOU:02068-35115-00,6,AZURE,1
FUID-KCLOU:02068-33448-00,6,AZURE,1
FUID-KCLOU:02068-35236-00,6,AZURE,1
FUID-KCLOU:02068-27125-00,6,AZURE,1
FUID-KCLOU:02068-35153-00,6,AZURE,1
FUID-COGNO:01048-7689-latest,6,AZURE,1
FUID-KCLOU:02068-33829-00,6,AZURE,1
FUID-KCLOU:02068-43598-00,5,AZURE,1
FUID-AMAZO:02462-19971-00,5,AWS,1
FUID-REDHA:01014-6801-00,5,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-43909-00,5,AZURE,1
FUID-COGNO:01048-64932-22.04,5,AZURE,1
FUID-KCLOU:02068-36219-00,5,AZURE,1
FUID-KCLOU:02068-43815-00,5,AZURE,1
FUID-PCLOU:00218-33964-00,5,AZURE,1
FUID-AMAZO:02462-22643-00,5,AWS,1
FUID-KCLOU:02068-36465-00,5,AZURE,1
FUID-KCLOU:02068-33320-00,5,AZURE,1
FUID-EGNYT:01538-4472-00,5,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-59616-00,5,AZURE,1
FUID-KCLOU:02068-34011-00,5,AZURE,1
FUID-KCLOU:02068-33185-00,5,AZURE,1
FUID-CORAL:01438-4154-00,5,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-26837-00,5,AZURE,1
FUID-COGNO:01048-46276-22.04,5,AZURE,1
FUID-ATHIN:02588-17587-00,5,"AWS, AZURE",2
FUID-KCLOU:02068-57608-00,5,AZURE,1
FUID-KCLOU:02068-35656-00,5,AZURE,1
FUID-KCLOU:02068-26737-00,5,AZURE,1
FUID-KCLOU:02068-43666-00,5,AZURE,1
FUID-KCLOU:02068-33904-00,5,AZURE,1
FUID-PCLOU:00218-34271-00,5,AZURE,1
FUID-AMAZO:02462-22615-00,5,AWS,1
FUID-KCLOU:02068-43582-00,5,AZURE,1
FUID-KCLOU:02068-35012-00,5,AZURE,1
FUID-AMAZO:02462-22692-00,5,AWS,1
FUID-KCLOU:02068-34735-00,5,AZURE,1
FUID-KCLOU:02068-33313-00,5,AZURE,1
FUID-KCLOU:02068-33727-00,5,AZURE,1
FUID-REDHA:01014-4075-00,5,"AWS, AZURE, GCP",3
FUID-DATAD:01617-8941-00,5,"AWS, AZURE",2
FUID-AMAZO:02462-22736-00,5,AWS,1
FUID-KCLOU:02068-57617-00,5,AZURE,1
FUID-KCLOU:02068-27469-00,5,AZURE,1
FUID-REDHA:01014-6861-00,5,"AWS, AZURE, GCP",3
FUID-DARWI:08921-36721-00,5,AZURE,1
FUID-KCLOU:02068-27078-00,5,AZURE,1
FUID-KCLOU:02068-57630-00,5,AZURE,1
FUID-PCLOU:00218-26822-00,4,AZURE,1
FUID-KCLOU:02068-33509-00,4,AZURE,1
FUID-PCLOU:00218-33654-00,4,AZURE,1
FUID-KCLOU:02068-43760-00,4,AZURE,1
FUID-SALTS:01863-6168-00,4,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-57475-00,4,AZURE,1
FUID-ATHIN:02588-42153-00,4,AZURE,1
FUID-PCLOU:00218-42658-00,4,AZURE,1
FUID-KCLOU:02068-44426-00,4,AZURE,1
FUID-ATHIN:02588-35053-00,4,"AWS, AZURE",2
FUID-PCLOU:00218-61684-00,4,AZURE,1
FUID-WHIZ:04727-54953-8,4,AZURE,1
FUID-PCLOU:00218-59620-00,4,AZURE,1
FUID-PCLOU:00218-33561-00,4,AZURE,1
FUID-DYNAT:00592-26965-00,4,AZURE,1
FUID-KCLOU:02068-62288-00,4,AZURE,1
FUID-PCLOU:00218-33105-00,4,AZURE,1
FUID-ATHIN:02588-33809-00,4,"AWS, AZURE",2
FUID-PCLOU:00218-36318-00,4,AZURE,1
FUID-PCLOU:00218-35248-00,4,AZURE,1
FUID-INFRA:00476-34284-00,4,AZURE,1
FUID-PCLOU:00218-33833-00,4,AZURE,1
FUID-KCLOU:02068-57470-00,4,AZURE,1
FUID-NEO4J:00397-0599-00,4,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-57538-00,4,AZURE,1
FUID-ATHIN:02588-26403-00,4,AZURE,1
FUID-KCLOU:02068-57463-00,4,AZURE,1
FUID-AMAZO:02462-22614-00,4,AWS,1
FUID-PULUM:01681-5103-00,4,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-57461-00,4,AZURE,1
FUID-PCLOU:00218-34321-00,4,AZURE,1
FUID-ATHIN:02588-32245-00,4,"AWS, AZURE",2
FUID-AMAZO:02462-22639-00,4,AWS,1
FUID-INFOR:00496-1953-00,4,"AWS, AZURE, GCP",3
FUID-PCLOU:00218-34231-00,4,AZURE,1
FUID-PCLOU:00218-33687-00,4,AZURE,1
FUID-PCLOU:00218-61838-00,4,AZURE,1
FUID-ATHIN:02588-33387-00,4,AZURE,1
FUID-PCLOU:00218-27085-00,4,AZURE,1
FUID-PCLOU:00218-33630-00,4,AZURE,1
FUID-AMAZO:02462-22647-00,4,AWS,1
FUID-PCLOU:00218-34073-00,4,AZURE,1
FUID-PCLOU:00218-33866-00,4,AZURE,1
FUID-ATHIN:02588-30662-00,4,"AWS, AZURE",2
FUID-KCLOU:02068-34508-00,4,AZURE,1
FUID-COGNO:01048-64508-14,4,AZURE,1
FUID-KCLOU:02068-33196-00,4,AZURE,1
FUID-PCLOU:00218-61798-00,4,AZURE,1
FUID-PCLOU:00218-59542-00,4,AZURE,1
FUID-PCLOU:00218-26701-00,4,AZURE,1
FUID-PCLOU:00218-59560-00,4,AZURE,1
FUID-AQUER:14559-61165-00,4,AZURE,1
FUID-OUTER:01940-6425-00,4,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-43371-00,4,AZURE,1
FUID-BCLOU:00337-2374-00,4,"AZURE, GCP",2
FUID-KCLOU:02068-34045-00,4,AZURE,1
FUID-WEKA:00640-1152-00,4,"AWS, AZURE, GCP",3
FUID-PCLOU:00218-26930-00,4,AZURE,1
FUID-REDHA:01014-6844-00,4,"AWS, AZURE",2
FUID-PCLOU:00218-33918-00,4,AZURE,1
FUID-TANIU:01560-5765-00,4,"AWS, AZURE, GCP",3
FUID-KCLOU:02068-35509-00,4,AZURE,1
FUID-KCLOU:02068-34701-00,4,AZURE,1
FUID-PCLOU:00218-43627-00,4,AZURE,1
FUID-CYCOD:01406-3970-00,4,"AWS, AZURE, GCP",3
FUID-PCLOU:00218-0286-00,4,AZURE,1
FUID-AMAZO:02462-19981-00,4,AWS,1
FUID-KCLOU:02068-34734-00,4,AZURE,1
FUID-KCLOU:02068-33989-00,4,AZURE,1
FUID-PCLOU:00218-44068-00,4,AZURE,1
FUID-INFRA:00476-42442-00,4,AZURE,1
FUID-KCLOU:02068-59693-00,4,AZURE,1
FUID-KCLOU:02068-59692-00,4,AZURE,1
FUID-REDHA:01014-7998-00,4,"AWS, AZURE",2
FUID-PCLOU:00218-59659-00,4,AZURE,1
FUID-KCLOU:02068-7118-00,4,AZURE,1
FUID-PHILT:00970-2241-00,4,"AWS, AZURE, GCP",3
FUID-PCLOU:00218-59672-00,4,AZURE,1
FUID-COGNO:01048-33467-8.3,4,AZURE,1
FUID-ANAPL:00816-1643-00,4,"AWS, AZURE, GCP",3
FUID-COGNO:07432-30602-24x7,4,AWS,1
FUID-PCLOU:00218-59666-00,4,AZURE,1
FUID-KCLOU:02068-33930-00,4,AZURE,1
FUID-COGNO:01048-67937-00,4,AZURE,1
FUID-APPS4:00107-55778-87,4,AZURE,1
FUID-JINA:01884-6288-3,3,"AWS, AZURE, GCP",3
FUID-ESRI:02595-8257-00,3,"AWS, AZURE",2
FUID-INFRA:00476-35008-00,3,AZURE,1
FUID-PCLOU:00218-61851-00,3,AZURE,1
FUID-HIDDE:01897-6313-00,3,"AWS, AZURE, GCP",3
FUID-VELLU:01915-6348-00,3,"AWS, AZURE, GCP",3
FUID-SPEKT:00919-2053-00,3,"AZURE, GCP",2
FUID-INFOB:01337-3709-00,3,"AWS, AZURE, GCP",3
FUID-ATEME:01827-5963-00,3,"AWS, AZURE, GCP",3
FUID-EVERG:01832-5970-00,3,"AWS, AZURE, GCP",3
FUID-MONGO:00639-2007-00,3,"AWS, AZURE, GCP",3
FUID-GYTPO:01581-4601-00,3,"AWS, AZURE, GCP",3
FUID-CISCO:01191-3696-00,3,"AWS, AZURE, GCP",3
FUID-AMAZO:02462-22707-00,3,AWS,1
FUID-DAGST:00906-1994-00,3,"AWS, AZURE, GCP",3
